ID,Title,Repo,Priority,Status,Labels,Description
BE-001,Verificar firma del webhook de MercadoPago,backend,P0,Todo,"backend,seguridad,bug","Validar header x-signature segun docs MP. HMAC-SHA256 con MP_WEBHOOK_SECRET. Devolver 401 si no matchea antes de tocar DB."
BE-002,Unificar montos del plan PRO,backend,P0,Todo,"backend,bug","Inconsistencia: suscripciones.js usa $20.000 pero electricistas.js:146 usa $8.900. Centralizar en constante o tabla Plan."
BE-003,Renombrar prompts/textos de ElectroAR en backend,backend,P0,Todo,"backend,rebranding","Reemplazar ElectroAR a Profi en chat.js (system prompt), suscripciones.js (PLAN_NOMBRE), server.js (logs). Solo strings user-facing."
BE-004,Multi-rubro en /api/chat,backend,P0,Todo,"backend,producto","Recibir categoriaSlug del frontend. Cargar dataset y system prompt segun rubro. Para rubros sin tabla, prompt generico."
BE-005,Email transaccional minimo,backend,P0,Todo,"backend,infra","Integrar Resend o Mailgun. Templates: bienvenida, confirmacion pago, recuperar password. Vars EMAIL_API_KEY y EMAIL_FROM."
BE-006,Logging estructurado + error tracking,backend,P0,Todo,"backend,infra","Reemplazar console.log por pino. Integrar Sentry o BetterStack. Var SENTRY_DSN."
BE-010,Endpoints de resenas /api/resenas,backend,P1,Todo,"backend,feature","Modelo Resena ya existe. POST crea resena (rate-limited). GET lista publica. Trigger actualiza Profesional.rating y .reviews."
BE-011,Tracking real de visitas,backend,P1,Todo,"backend,feature","POST /api/profesionales/:id/visita idempotente por sesion. Considerar tabla EventoPerfil para historico."
BE-012,Login con Google OAuth,backend,P1,Todo,"backend,feature","POST /api/auth/google recibe idToken, verifica contra Google, crea o linkea cuenta. JWT propio como respuesta."
BE-013,Renombrar Electricista a Profesional,backend,P1,Todo,"backend,rebranding","Schema + todas las rutas + todos los prisma.electricista.*. Usar @map para no obligar renombrar tabla en primer paso."
BE-014,Alias /api/profesionales,backend,P1,Todo,"backend,rebranding","Copiar router de electricistas y exponer bajo /api/profesionales. Marcar electricistas como deprecated."
BE-015,Tests automatizados basicos,backend,P1,Todo,"backend,calidad","vitest o node:test + supertest. Cobertura minima: auth, crear suscripcion, parser scraper."
BE-016,JWT_SECRET sin default,backend,P1,Todo,"backend,seguridad,bug","Hoy default 'electro-ar-secret-key'. Crashear servidor en startup si var no esta seteada."
BE-017,Idempotencia del webhook MP,backend,P1,Todo,"backend,bug","MP puede reintentar. Chequear mpPaymentId antes de crear Pago. Si existe, devolver 200 sin tocar DB."
BE-020,Logs de auditoria para acciones admin,backend,P2,Todo,"backend,feature","Tabla AuditoriaAdmin con adminId, accion, recursoTipo, recursoId, datosAntes, datosDespues, fecha."
